Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2023-100000,2023-05-11,2023-05-17,Second Class,CU-10000,Customer 0,Corporate,United States,Chicago,New York,69735,Central,PR-PAP-1000,Office Supplies,Paper,Paper Model 0,138.23,8,0.0,-27.65
US-2024-100001,2024-04-19,2024-04-22,Standard Class,CU-10001,Customer 1,Consumer,United States,Atlanta,Texas,77435,East,PR-MAC-1001,Technology,Machines,Machines Model 1,138.23,6,0.0,-39.24
US-2023-100002,2023-12-06,2023-12-10,First Class,CU-10002,Customer 2,Corporate,United States,Columbus,Florida,90077,Central,PR-LAB-1002,Office Supplies,Labels,Labels Model 2,131.59,2,0.0,-38.01
US-2024-100003,2024-12-30,2025-01-03,Second Class,CU-10003,Customer 3,Consumer,United States,New York City,Georgia,42606,South,PR-STO-1003,Office Supplies,Storage,Storage Model 3,162.84,4,0.0,61.67
US-2023-100004,2023-07-07,2023-07-11,Standard Class,CU-10004,Customer 4,Consumer,United States,Detroit,California,58984,East,PR-COP-1004,Technology,Copiers,Copiers Model 4,67.39,5,0.1,25.32
US-2024-100005,2024-01-14,2024-01-19,Standard Class,CU-10005,Customer 5,Consumer,United States,Atlanta,Ohio,74505,West,PR-COP-1005,Technology,Copiers,Copiers Model 5,34.44,1,0.15,8.72
US-2023-100006,2024-06-30,2024-07-01,Second Class,CU-10006,Customer 6,Consumer,United States,Houston,Illinois,18110,West,PR-TAB-1006,Furniture,Tables,Tables Model 6,144.76,3,0.1,-15.59
US-2024-100007,2024-04-05,2024-04-08,Standard Class,CU-10007,Customer 7,Corporate,United States,Columbus,California,64268,West,PR-LAB-1007,Office Supplies,Labels,Labels Model 7,119.1,9,0.15,-26.49
US-2023-100008,2024-07-10,2024-07-16,Standard Class,CU-10008,Customer 8,Consumer,United States,Detroit,Illinois,12693,West,PR-APP-1008,Office Supplies,Appliances,Appliances Model 8,84.13,3,0.0,29.51
US-2024-100009,2023-08-13,2023-08-14,Standard Class,CU-10009,Customer 9,Home Office,United States,Detroit,Michigan,65016,South,PR-BIN-1009,Office Supplies,Binders,Binders Model 9,282.3,7,0.2,-21.85
US-2023-100010,2024-11-22,2024-11-23,Standard Class,CU-10010,Customer 10,Consumer,United States,Los Angeles,Georgia,72003,South,PR-APP-1010,Office Supplies,Appliances,Appliances Model 10,61.42,6,0.0,5.57
US-2024-100011,2023-08-13,2023-08-14,Standard Class,CU-10011,Customer 11,Consumer,United States,Houston,New York,97092,Central,PR-STO-1011,Office Supplies,Storage,Storage Model 11,314.88,1,0.5,-3.86
US-2023-100012,2024-05-25,2024-05-26,Standard Class,CU-10012,Customer 12,Consumer,United States,Detroit,Pennsylvania,61663,South,PR-APP-1012,Office Supplies,Appliances,Appliances Model 12,47.63,5,0.15,6.83
US-2024-100013,2024-05-03,2024-05-04,Second Class,CU-10013,Customer 13,Consumer,United States,Miami,Ohio,21111,South,PR-FUR-1013,Furniture,Furnishings,Furnishings Model 13,94.43,3,0.0,-21.97
US-2023-100014,2023-10-31,2023-11-06,Standard Class,CU-10014,Customer 14,Home Office,United States,Chicago,Illinois,39855,West,PR-FUR-1014,Furniture,Furnishings,Furnishings Model 14,124.72,9,0.1,-14.64
US-2024-100015,2024-09-19,2024-09-22,Standard Class,CU-10015,Customer 15,Corporate,United States,Los Angeles,Florida,15539,West,PR-LAB-1015,Office Supplies,Labels,Labels Model 15,249.26,8,0.1,80.12
US-2023-100016,2024-02-02,2024-02-07,Standard Class,CU-10016,Customer 16,Consumer,United States,Seattle,Florida,32399,East,PR-COP-1016,Technology,Copiers,Copiers Model 16,190.27,9,0.0,-54.67
US-2024-100017,2023-02-07,2023-02-13,Standard Class,CU-10017,Customer 17,Corporate,United States,Houston,Pennsylvania,15895,West,PR-ART-1017,Office Supplies,Art,Art Model 17,53.76,6,0.0,-6.95
US-2023-100018,2024-05-26,2024-05-27,Standard Class,CU-10018,Customer 18,Corporate,United States,Chicago,Pennsylvania,57202,West,PR-STO-1018,Office Supplies,Storage,Storage Model 18,43.05,3,0.1,10.25
US-2024-100019,2023-06-10,2023-06-13,Standard Class,CU-10019,Customer 19,Corporate,United States,New York City,Michigan,42745,South,PR-PAP-1019,Office Supplies,Paper,Paper Model 19,162.25,1,0.0,-13.96
US-2023-100020,2023-09-03,2023-09-10,Standard Class,CU-10020,Customer 20,Consumer,United States,Atlanta,Ohio,59689,Central,PR-MAC-1020,Technology,Machines,Machines Model 20,174.29,1,0.2,-35.62
US-2024-100021,2024-02-04,2024-02-10,First Class,CU-10021,Customer 21,Corporate,United States,Houston,Ohio,23403,South,PR-PHO-1021,Technology,Phones,Phones Model 21,58.37,4,0.15,11.17
US-2023-100022,2024-03-19,2024-03-24,Standard Class,CU-10022,Customer 22,Corporate,United States,Los Angeles,Florida,29508,Central,PR-APP-1022,Office Supplies,Appliances,Appliances Model 22,271.89,4,0.0,-23.85
US-2024-100023,2023-09-26,2023-09-28,Standard Class,CU-10023,Customer 23,Home Office,United States,Atlanta,Texas,96672,West,PR-BIN-1023,Office Supplies,Binders,Binders Model 23,33.13,3,0.15,6.9
US-2023-100024,2023-04-28,2023-04-29,Second Class,CU-10024,Customer 24,Consumer,United States,Miami,Illinois,13343,South,PR-ART-1024,Office Supplies,Art,Art Model 24,518.61,1,0.1,-68.53
US-2024-100025,2023-08-08,2023-08-13,Second Class,CU-10025,Customer 25,Consumer,United States,Los Angeles,Washington,39124,East,PR-PAP-1025,Office Supplies,Paper,Paper Model 25,93.62,3,0.2,-27.14
US-2023-100026,2023-08-11,2023-08-13,Standard Class,CU-10026,Customer 26,Consumer,United States,Atlanta,Texas,19823,East,PR-STO-1026,Office Supplies,Storage,Storage Model 26,136.14,6,0.15,-36.52
US-2024-100027,2024-10-25,2024-10-29,Standard Class,CU-10027,Customer 27,Consumer,United States,New York City,Texas,45195,West,PR-PHO-1027,Technology,Phones,Phones Model 27,51.9,1,0.2,7.55
US-2023-100028,2024-12-27,2024-12-28,First Class,CU-10028,Customer 28,Corporate,United States,Atlanta,Florida,98668,Central,PR-BOO-1028,Furniture,Bookcases,Bookcases Model 28,240.14,2,0.0,31.89
US-2024-100029,2024-01-11,2024-01-15,First Class,CU-10029,Customer 29,Consumer,United States,Detroit,Illinois,99084,East,PR-MAC-1029,Technology,Machines,Machines Model 29,344.52,5,0.0,122.53
US-2023-100030,2023-02-06,2023-02-10,Second Class,CU-10030,Customer 30,Home Office,United States,Los Angeles,Ohio,81180,West,PR-STO-1030,Office Supplies,Storage,Storage Model 30,163.98,7,0.1,50.34
US-2024-100031,2023-06-26,2023-06-30,Standard Class,CU-10031,Customer 31,Corporate,United States,Detroit,Texas,46939,West,PR-ART-1031,Office Supplies,Art,Art Model 31,182.28,9,0.0,59.58
US-2023-100032,2024-07-18,2024-07-25,Second Class,CU-10032,Customer 32,Consumer,United States,Detroit,Ohio,94076,East,PR-BIN-1032,Office Supplies,Binders,Binders Model 32,79.0,9,0.1,-11.94
US-2024-100033,2024-05-06,2024-05-07,Same Day,CU-10033,Customer 33,Consumer,United States,Philadelphia,Ohio,31677,Central,PR-MAC-1033,Technology,Machines,Machines Model 33,164.83,2,0.5,29.94
US-2023-100034,2023-09-09,2023-09-16,First Class,CU-10034,Customer 34,Corporate,United States,Houston,Pennsylvania,36790,West,PR-STO-1034,Office Supplies,Storage,Storage Model 34,364.52,9,0.1,-19.99
US-2024-100035,2023-12-27,2024-01-03,Standard Class,CU-10035,Customer 35,Consumer,United States,Los Angeles,Texas,90219,Central,PR-STO-1035,Office Supplies,Storage,Storage Model 35,112.32,4,0.0,-24.46
US-2023-100036,2023-02-16,2023-02-17,Standard Class,CU-10036,Customer 36,Home Office,United States,Los Angeles,California,78866,South,PR-ACC-1036,Technology,Accessories,Accessories Model 36,197.3,3,0.15,-48.77
US-2024-100037,2023-12-14,2023-12-18,Standard Class,CU-10037,Customer 37,Home Office,United States,Atlanta,Florida,94665,Central,PR-PHO-1037,Technology,Phones,Phones Model 37,168.3,8,0.15,-17.81
US-2023-100038,2024-07-11,2024-07-14,Standard Class,CU-10038,Customer 38,Consumer,United States,Philadelphia,New York,66178,South,PR-BIN-1038,Office Supplies,Binders,Binders Model 38,110.59,5,0.2,19.83
US-2024-100039,2023-03-06,2023-03-08,Standard Class,CU-10039,Customer 39,Home Office,United States,Los Angeles,Illinois,33833,East,PR-LAB-1039,Office Supplies,Labels,Labels Model 39,160.36,5,0.0,-5.85
US-2023-100040,2024-10-06,2024-10-12,First Class,CU-10040,Customer 40,Home Office,United States,Houston,Illinois,33574,Central,PR-APP-1040,Office Supplies,Appliances,Appliances Model 40,8.23,7,0.2,2.21
US-2024-100041,2024-03-21,2024-03-22,First Class,CU-10041,Customer 41,Consumer,United States,Los Angeles,Florida,46187,East,PR-PAP-1041,Office Supplies,Paper,Paper Model 41,75.29,1,0.5,9.36
US-2023-100042,2024-02-05,2024-02-12,Standard Class,CU-10042,Customer 42,Corporate,United States,Columbus,Illinois,49764,East,PR-STO-1042,Office Supplies,Storage,Storage Model 42,369.98,5,0.0,94.08
US-2024-100043,2024-03-10,2024-03-17,First Class,CU-10043,Customer 43,Corporate,United States,New York City,Washington,63413,Central,PR-ART-1043,Office Supplies,Art,Art Model 43,175.54,2,0.1,-4.46
US-2023-100044,2024-03-25,2024-03-30,Second Class,CU-10044,Customer 44,Home Office,United States,Houston,Michigan,34214,East,PR-BIN-1044,Office Supplies,Binders,Binders Model 44,164.77,8,0.0,22.17
US-2024-100045,2024-10-28,2024-11-02,Standard Class,CU-10045,Customer 45,Corporate,United States,New York City,Georgia,21314,Central,PR-TAB-1045,Furniture,Tables,Tables Model 45,292.07,8,0.1,91.13
US-2023-100046,2023-08-02,2023-08-09,Standard Class,CU-10046,Customer 46,Consumer,United States,Miami,California,74291,East,PR-BOO-1046,Furniture,Bookcases,Bookcases Model 46,41.62,9,0.0,1.53
US-2024-100047,2023-03-19,2023-03-21,Standard Class,CU-10047,Customer 47,Consumer,United States,Atlanta,Florida,15126,Central,PR-PHO-1047,Technology,Phones,Phones Model 47,143.14,6,0.0,33.2
